uid,fraud,ftype,risk_score,risk_cat,email_len,email_num_ratio,email_rand,disp_email,phone_score,uniq_dev,max_acc_dev,uniq_addr,max_acc_addr,uniq_pay,max_acc_pay,promo_ratio,reg2txn_min,newuser_voucher,txn_f1m,amt_f1m,avg_amt1m,promo_f1m,voucher_f1m,txn_f2m,amt_f2m,avg_amt2m,promo_f2m,voucher_f2m,txn_f3m,amt_f3m,avg_amt3m,promo_f3m,voucher_f3m,txn_f4m,amt_f4m,avg_amt4m,promo_f4m,voucher_f4m,txn_f5m,amt_f5m,avg_amt5m,promo_f5m,voucher_f5m,txn_f6m,amt_f6m,avg_amt6m,promo_f6m,voucher_f6m,max_acc_ip,login_v1h,login_v2h,login_v3h,login_v4h,login_v5h,login_v6h,login_v12h,login_v18h,login_v24h,ref_cnt,ref_ring,degree,comp_size,cluster,shared_ent,shared_device_count,shared_address_count,shared_payment_count,shared_ip_count
USR00001,False,normal,50,Medium,23,0.0,2.5503407095463886,False,0.21818181818181817,1,5,1,10,1,4,0.0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370500,370500,0,0,1,370500,370500,0,0,102,0,0,0,0,0,0,0,1,1,0,0.0,79,9979,80,84,4,9,3,68
USR00002,False,normal,50,Medium,21,0.0,3.277613436819116,False,0.3181818181818182,1,5,1,10,1,4,0.0,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,388500,388500,0,0,103,0,0,0,0,0,0,1,1,1,1,0.0,128,9979,129,132,4,9,3,116
USR00003,False,normal,65,High,25,0.0,3.180832987205441,False,0.2545454545454545,1,5,1,10,1,4,0.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3588000,3588000,0,0,1,3588000,3588000,0,0,1,3588000,3588000,0,0,103,0,0,0,0,0,0,1,2,3,0,0.0,12,9979,13,16,4,9,3,0
USR00004,True,shared_device_abuse,15,Low,19,0.2222222222222222,2.6416041678685933,False,0.3181818181818182,1,2,1,1,1,2,0.5,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,175000,175000,0,0,6,1271000,211833,60000,3,107,0,6,9,9,9,9,9,9,9,0,0.0,208,9979,209,210,1,0,1,208
USR00005,False,normal,90,High,26,0.0,3.25,False,0.40909090909090906,1,6,1,10,1,4,1.0,1378,1,1,96000,96000,50000,1,1,96000,96000,50000,1,1,96000,96000,50000,1,1,96000,96000,50000,1,1,96000,96000,50000,1,1,96000,96000,50000,1,105,0,0,0,0,0,0,1,2,2,0,0.0,165,9979,166,173,5,9,3,156
USR00006,False,normal,90,High,18,0.0,2.5,False,0.2818181818181818,1,6,1,10,1,4,0.0,3,0,1,2035500,2035500,0,0,1,2035500,2035500,0,0,1,2035500,2035500,0,0,1,2035500,2035500,0,0,1,2035500,2035500,0,0,1,2035500,2035500,0,0,80,4,4,4,4,4,4,4,4,4,0,0.0,223,9979,224,232,5,9,3,215
USR00007,False,normal,75,High,17,0.2857142857142857,2.807354922057604,False,0.33999999999999997,1,6,1,10,1,4,0.0,2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3360500,3360500,0,0,99,0,0,0,0,0,1,1,1,1,1,0.0,119,9979,120,123,5,9,3,106
USR00008,False,normal,75,High,21,0.0,2.94770277922009,False,0.39999999999999997,1,6,1,10,1,4,0.0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1016000,1016000,0,0,99,0,0,0,0,0,0,1,1,1,1,0.0,207,9979,208,214,5,9,3,197
USR00009,False,normal,75,High,22,0.0,2.9219280948873623,False,0.2818181818181818,1,6,1,10,1,4,0.25,393,0,1,220000,220000,0,0,3,1036500,345500,10000,1,4,1169500,292375,10000,1,4,1169500,292375,10000,1,4,1169500,292375,10000,1,4,1169500,292375,10000,1,92,0,0,0,0,0,0,1,2,2,0,0.0,98,9979,99,101,5,9,3,84
USR00010,True,voucher_farming,30,Low,24,0.0,3.09306920777189,False,0.34545454545454546,1,2,1,1,1,2,1.0,181,1,0,0,0,0,0,1,45000,45000,45000,1,1,45000,45000,45000,1,1,45000,45000,45000,1,1,45000,45000,45000,1,1,45000,45000,45000,1,100,0,0,0,0,0,0,2,2,2,0,0.0,58,9979,59,58,1,0,1,56
