uid,email_len,email_num_ratio,email_rand,disp_email,phone_score,full_name_len,is_email_verified,is_phone_verified,age_years,registration_hour,registration_channel,city,province,fraud,ftype
USR05242,24,0.0,2.8553885422075336,0,0.21818181818181817,24,1,1,21.711156741957563,16,google,Jakarta,DKI Jakarta,0,normal
USR00907,24,0.0,2.7534343861887853,0,0.46363636363636357,26,1,1,22.830937713894592,5,google,Surabaya,Jawa Timur,1,suspicious_phone_pattern
USR09318,22,0.5,2.9219280948873627,1,0.1909090909090909,11,0,0,59.370294318959616,17,google,Denpasar,Bali,1,disposable_email
USR01636,23,0.0,2.931208948910323,0,0.48,17,1,1,59.54551676933607,7,phone,Medan,Sumatera Utara,1,suspicious_phone_pattern
USR04735,21,0.5555555555555556,2.725480556997868,1,0.2545454545454545,10,1,1,26.548939082819988,12,phone,Surabaya,Jawa Timur,1,disposable_email
USR03969,25,0.4,2.9219280948873623,1,0.3090909090909091,11,0,1,18.392881587953458,22,google,Denpasar,Bali,1,disposable_email
USR01271,22,0.5,3.121928094887362,1,0.24000000000000002,11,1,1,49.464750171115675,1,google,Denpasar,Bali,1,disposable_email
USR02299,20,0.0,3.321928094887362,0,0.1909090909090909,14,1,1,27.1813826146475,23,google,Denpasar,Bali,0,normal
USR02202,22,0.5555555555555556,2.9477027792200903,1,0.33999999999999997,10,0,1,18.748802190280628,14,google,Yogyakarta,DI Yogyakarta,1,disposable_email
USR05209,17,0.2857142857142857,2.807354922057604,0,0.43999999999999995,25,1,1,20.306639288158795,14,phone,Denpasar,Bali,1,suspicious_phone_pattern
USR06953,26,0.0,2.7534343861887853,0,0.38,25,1,1,57.347022587268995,13,google,Makassar,Sulawesi Selatan,0,normal
USR02507,23,0.0,2.8731406795131336,0,0.1909090909090909,18,1,1,27.93429158110883,5,phone,Yogyakarta,DI Yogyakarta,0,normal
USR08681,25,0.0,3.4565647621309536,0,0.43636363636363634,18,1,1,51.3429158110883,1,google,Makassar,Sulawesi Selatan,1,suspicious_phone_pattern
USR06602,18,0.25,2.1556390622295662,0,0.27,24,1,1,55.63860369609856,1,phone,Bandung,Jawa Barat,0,normal
USR04169,21,0.0,3.095795255000934,0,0.43636363636363634,16,1,1,40.98562628336756,22,google,Denpasar,Bali,1,suspicious_phone_pattern
USR00370,25,0.4,3.321928094887362,1,0.2818181818181818,11,0,0,59.80835044490075,10,facebook,Bandung,Jawa Barat,1,disposable_email
USR05434,20,0.5,2.9219280948873623,0,0.1909090909090909,11,1,0,29.57700205338809,15,phone,Makassar,Sulawesi Selatan,0,normal
USR09696,18,0.25,2.75,0,0.34545454545454546,16,1,1,31.028062970568104,18,google,Makassar,Sulawesi Selatan,0,normal
USR05697,24,0.0,3.188721875540867,0,0.2818181818181818,20,1,1,45.672826830937716,23,phone,Makassar,Sulawesi Selatan,0,normal
USR03027,22,0.5,3.121928094887362,1,0.34545454545454546,11,0,1,29.2621492128679,11,facebook,Semarang,Jawa Tengah,1,disposable_email
USR01235,21,0.0,3.0957952550009344,0,0.42727272727272725,23,1,1,56.34770704996578,2,google,Makassar,Sulawesi Selatan,1,suspicious_phone_pattern
USR08622,25,0.5,3.1219280948873624,1,0.21818181818181817,11,1,1,36.10951403148528,5,phone,Semarang,Jawa Tengah,1,disposable_email
USR07140,22,0.5,2.8464393446710154,1,0.34545454545454546,11,1,0,50.25872689938399,1,google,Medan,Sumatera Utara,1,disposable_email
USR07109,21,0.5555555555555556,2.9477027792200903,1,0.3181818181818182,10,0,0,56.720054757015745,2,google,Makassar,Sulawesi Selatan,1,disposable_email
USR04155,22,0.5,3.321928094887362,1,0.39999999999999997,11,0,1,29.4072553045859,10,email,Yogyakarta,DI Yogyakarta,1,disposable_email
USR06391,21,0.0,2.94770277922009,0,0.43636363636363634,13,1,1,47.54551676933607,11,google,Denpasar,Bali,1,suspicious_phone_pattern
USR02334,18,0.3333333333333333,2.584962500721156,0,0.37272727272727274,16,1,1,33.93839835728953,16,facebook,Medan,Sumatera Utara,0,normal
USR05203,25,0.4166666666666667,3.4182958340544896,1,0.3181818181818182,13,0,1,21.311430527036276,11,google,Denpasar,Bali,1,disposable_email
USR07713,23,0.5,3.121928094887362,1,0.2545454545454545,11,0,0,28.45722108145106,12,google,Medan,Sumatera Utara,1,disposable_email
USR01499,20,0.0,2.4464393446710155,0,0.43636363636363634,17,1,1,35.51813826146475,6,facebook,Jakarta,DKI Jakarta,1,suspicious_phone_pattern
USR04400,22,0.5,3.121928094887362,1,0.27999999999999997,11,1,0,51.9917864476386,4,google,Semarang,Jawa Tengah,1,disposable_email
USR01326,24,0.45454545454545453,3.277613436819116,1,0.2818181818181818,12,1,1,56.11225188227242,15,email,Denpasar,Bali,1,disposable_email
USR03994,21,0.45454545454545453,3.277613436819116,0,0.43999999999999995,12,0,1,38.51882272416153,22,google,Jakarta,DKI Jakarta,1,suspicious_phone_pattern
USR01883,22,0.0,2.751629167387823,0,0.21818181818181817,12,1,1,47.18412046543463,10,facebook,Medan,Sumatera Utara,0,normal
USR06268,24,0.5555555555555556,2.94770277922009,1,0.3090909090909091,10,0,0,47.76728268309377,20,google,Surabaya,Jawa Timur,1,disposable_email
USR04382,24,0.0,2.8073549220576037,0,0.43636363636363634,11,1,1,23.189596167008897,23,google,Semarang,Jawa Tengah,1,suspicious_phone_pattern
USR09042,19,0.5555555555555556,2.94770277922009,0,0.42727272727272725,10,1,1,24.711841204654345,7,phone,Surabaya,Jawa Timur,1,suspicious_phone_pattern
USR00896,17,0.2857142857142857,2.807354922057604,0,0.34545454545454546,13,1,1,52.558521560574945,15,facebook,Bandung,Jawa Barat,0,normal
USR00127,21,0.0,3.0957952550009344,0,0.47,20,1,1,39.02532511978097,17,google,Yogyakarta,DI Yogyakarta,1,suspicious_phone_pattern
USR06909,26,0.0,3.09306920777189,0,0.2818181818181818,27,1,1,24.536618754277892,20,google,Bandung,Jawa Barat,0,normal
USR03928,19,0.2857142857142857,2.807354922057604,0,0.2818181818181818,23,1,1,48.271047227926076,18,email,Yogyakarta,DI Yogyakarta,0,normal
USR06779,24,0.0,2.918295834054489,0,0.34545454545454546,13,1,1,21.776865160848732,17,google,Jakarta,DKI Jakarta,0,normal
USR05620,24,0.0,2.918295834054489,0,0.34545454545454546,14,1,1,56.407939767282684,10,phone,Denpasar,Bali,0,normal
USR04360,24,0.45454545454545453,3.0957952550009344,1,0.37272727272727274,12,0,0,48.94455852156057,1,google,Denpasar,Bali,1,disposable_email
USR06283,21,0.0,3.027169118440619,0,0.49090909090909085,15,1,1,30.830937713894592,18,phone,Surabaya,Jawa Timur,1,suspicious_phone_pattern
USR08221,17,0.4,2.321928094887362,0,0.1909090909090909,24,1,1,58.78713210130048,8,google,Jakarta,DKI Jakarta,0,normal
USR07239,23,0.0,3.180832987205441,0,0.3363636363636363,11,1,1,38.732375085557834,22,phone,Medan,Sumatera Utara,0,normal
USR04424,19,0.2222222222222222,2.94770277922009,0,0.34545454545454546,16,1,1,37.3388090349076,9,phone,Makassar,Sulawesi Selatan,0,normal
