user_id,is_fake_account,fraud_type,fraud_reason,label_source
USR00001,False,normal,,rule_based
USR00002,False,normal,,rule_based
USR00003,False,normal,,rule_based
USR00004,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00005,False,normal,,rule_based
USR00006,False,normal,,rule_based
USR00007,False,normal,,rule_based
USR00008,False,normal,,rule_based
USR00009,False,normal,,rule_based
USR00010,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00011,True,shared_address_abuse,Multiple accounts sharing the same physical delivery address,rule_based
USR00012,False,normal,,rule_based
USR00013,False,normal,,rule_based
USR00014,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00015,True,shared_device_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00016,False,normal,,rule_based
USR00017,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00018,False,normal,,rule_based
USR00019,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00020,False,normal,,rule_based
USR00021,False,normal,,rule_based
USR00022,False,normal,,rule_based
USR00023,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00024,False,normal,,rule_based
USR00025,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00026,False,normal,,rule_based
USR00027,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00028,False,normal,,rule_based
USR00029,False,normal,,rule_based
USR00030,False,normal,,rule_based
USR00031,False,normal,,rule_based
USR00032,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00033,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00034,False,normal,,rule_based
USR00035,False,normal,,rule_based
USR00036,False,normal,,rule_based
USR00037,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00038,False,normal,,rule_based
USR00039,False,normal,,rule_based
USR00040,False,normal,,rule_based
USR00041,False,normal,,rule_based
USR00042,False,normal,,rule_based
USR00043,False,normal,,rule_based
USR00044,False,normal,,rule_based
USR00045,False,normal,,rule_based
USR00046,False,normal,,rule_based
USR00047,True,shared_address_abuse,Multiple accounts sharing the same physical delivery address,rule_based
USR00048,False,normal,,rule_based
USR00049,False,normal,,rule_based
USR00050,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00051,False,normal,,rule_based
USR00052,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00053,False,normal,,rule_based
USR00054,False,normal,,rule_based
USR00055,False,normal,,rule_based
USR00056,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00057,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00058,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00059,True,shared_device_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00060,False,normal,,rule_based
USR00061,False,normal,,rule_based
USR00062,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00063,False,normal,,rule_based
USR00064,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00065,False,normal,,rule_based
USR00066,False,normal,,rule_based
USR00067,False,normal,,rule_based
USR00068,False,normal,,rule_based
USR00069,False,normal,,rule_based
USR00070,False,normal,,rule_based
USR00071,True,shared_device_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00072,False,normal,,rule_based
USR00073,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00074,False,normal,,rule_based
USR00075,False,normal,,rule_based
USR00076,True,shared_address_abuse,Multiple accounts sharing the same physical delivery address,rule_based
USR00077,False,normal,,rule_based
USR00078,False,normal,,rule_based
USR00079,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00080,False,normal,,rule_based
USR00081,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00082,False,normal,,rule_based
USR00083,False,normal,,rule_based
USR00084,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00085,False,normal,,rule_based
USR00086,False,normal,,rule_based
USR00087,False,normal,,rule_based
USR00088,True,shared_address_abuse,Multiple accounts sharing the same physical delivery address,rule_based
USR00089,False,normal,,rule_based
USR00090,False,normal,,rule_based
USR00091,True,shared_address_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00092,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00093,False,normal,,rule_based
USR00094,False,normal,,rule_based
USR00095,False,normal,,rule_based
USR00096,False,normal,,rule_based
USR00097,False,normal,,rule_based
USR00098,False,normal,,rule_based
USR00099,False,normal,,rule_based
USR00100,False,normal,,rule_based
USR00101,False,normal,,rule_based
USR00102,False,normal,,rule_based
USR00103,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00104,False,normal,,rule_based
USR00105,False,normal,,rule_based
USR00106,False,normal,,rule_based
USR00107,False,normal,,rule_based
USR00108,False,normal,,rule_based
USR00109,False,normal,,rule_based
USR00110,False,normal,,rule_based
USR00111,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00112,False,normal,,rule_based
USR00113,False,normal,,rule_based
USR00114,False,normal,,rule_based
USR00115,False,normal,,rule_based
USR00116,False,normal,,rule_based
USR00117,False,normal,,rule_based
USR00118,False,normal,,rule_based
USR00119,False,normal,,rule_based
USR00120,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00121,False,normal,,rule_based
USR00122,False,normal,,rule_based
USR00123,False,normal,,rule_based
USR00124,False,normal,,rule_based
USR00125,False,normal,,rule_based
USR00126,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00127,False,normal,,rule_based
USR00128,True,shared_address_abuse,Multiple accounts sharing the same physical delivery address,rule_based
USR00129,False,normal,,rule_based
USR00130,True,shared_address_abuse,Multiple accounts sharing the same physical delivery address,rule_based
USR00131,False,normal,,rule_based
USR00132,False,normal,,rule_based
USR00133,False,normal,,rule_based
USR00134,False,normal,,rule_based
USR00135,False,normal,,rule_based
USR00136,True,shared_device_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00137,False,normal,,rule_based
USR00138,False,normal,,rule_based
USR00139,False,normal,,rule_based
USR00140,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00141,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00142,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00143,False,normal,,rule_based
USR00144,False,normal,,rule_based
USR00145,False,normal,,rule_based
USR00146,False,normal,,rule_based
USR00147,False,normal,,rule_based
USR00148,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00149,False,normal,,rule_based
USR00150,False,normal,,rule_based
USR00151,False,normal,,rule_based
USR00152,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00153,False,normal,,rule_based
USR00154,False,normal,,rule_based
USR00155,False,normal,,rule_based
USR00156,False,normal,,rule_based
USR00157,False,normal,,rule_based
USR00158,False,normal,,rule_based
USR00159,False,normal,,rule_based
USR00160,False,normal,,rule_based
USR00161,False,normal,,rule_based
USR00162,False,normal,,rule_based
USR00163,False,normal,,rule_based
USR00164,False,normal,,rule_based
USR00165,True,shared_address_abuse,Multiple accounts sharing the same physical delivery address,rule_based
USR00166,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00167,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00168,False,normal,,rule_based
USR00169,False,normal,,rule_based
USR00170,False,normal,,rule_based
USR00171,False,normal,,rule_based
USR00172,False,normal,,rule_based
USR00173,False,normal,,rule_based
USR00174,False,normal,,rule_based
USR00175,False,normal,,rule_based
USR00176,False,normal,,rule_based
USR00177,False,normal,,rule_based
USR00178,False,normal,,rule_based
USR00179,False,normal,,rule_based
USR00180,False,normal,,rule_based
USR00181,False,normal,,rule_based
USR00182,False,normal,,rule_based
USR00183,False,normal,,rule_based
USR00184,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00185,False,normal,,rule_based
USR00186,False,normal,,rule_based
USR00187,False,normal,,rule_based
USR00188,False,normal,,rule_based
USR00189,False,normal,,rule_based
USR00190,False,normal,,rule_based
USR00191,False,normal,,rule_based
USR00192,False,normal,,rule_based
USR00193,False,normal,,rule_based
USR00194,False,normal,,rule_based
USR00195,False,normal,,rule_based
USR00196,False,normal,,rule_based
USR00197,False,normal,,rule_based
USR00198,False,normal,,rule_based
USR00199,False,normal,,rule_based
USR00200,False,normal,,rule_based
USR00201,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00202,False,normal,,rule_based
USR00203,False,normal,,rule_based
USR00204,False,normal,,rule_based
USR00205,False,normal,,rule_based
USR00206,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00207,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00208,False,normal,,rule_based
USR00209,False,normal,,rule_based
USR00210,False,normal,,rule_based
USR00211,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00212,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00213,False,normal,,rule_based
USR00214,False,normal,,rule_based
USR00215,False,normal,,rule_based
USR00216,False,normal,,rule_based
USR00217,False,normal,,rule_based
USR00218,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00219,False,normal,,rule_based
USR00220,False,normal,,rule_based
USR00221,False,normal,,rule_based
USR00222,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00223,False,normal,,rule_based
USR00224,False,normal,,rule_based
USR00225,False,normal,,rule_based
USR00226,False,normal,,rule_based
USR00227,False,normal,,rule_based
USR00228,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00229,False,normal,,rule_based
USR00230,False,normal,,rule_based
USR00231,False,normal,,rule_based
USR00232,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00233,True,shared_address_abuse,Multiple accounts sharing the same physical delivery address,rule_based
USR00234,False,normal,,rule_based
USR00235,False,normal,,rule_based
USR00236,False,normal,,rule_based
USR00237,False,normal,,rule_based
USR00238,False,normal,,rule_based
USR00239,False,normal,,rule_based
USR00240,False,normal,,rule_based
USR00241,True,referral_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00242,False,normal,,rule_based
USR00243,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00244,False,normal,,rule_based
USR00245,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00246,True,referral_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00247,False,normal,,rule_based
USR00248,False,normal,,rule_based
USR00249,False,normal,,rule_based
USR00250,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00251,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00252,False,normal,,rule_based
USR00253,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00254,False,normal,,rule_based
USR00255,True,shared_address_abuse,Multiple accounts sharing the same physical delivery address,rule_based
USR00256,False,normal,,rule_based
USR00257,False,normal,,rule_based
USR00258,False,normal,,rule_based
USR00259,False,normal,,rule_based
USR00260,False,normal,,rule_based
USR00261,False,normal,,rule_based
USR00262,False,normal,,rule_based
USR00263,False,normal,,rule_based
USR00264,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00265,False,normal,,rule_based
USR00266,False,normal,,rule_based
USR00267,False,normal,,rule_based
USR00268,False,normal,,rule_based
USR00269,False,normal,,rule_based
USR00270,False,normal,,rule_based
USR00271,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00272,False,normal,,rule_based
USR00273,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00274,False,normal,,rule_based
USR00275,False,normal,,rule_based
USR00276,False,normal,,rule_based
USR00277,False,normal,,rule_based
USR00278,False,normal,,rule_based
USR00279,False,normal,,rule_based
USR00280,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00281,False,normal,,rule_based
USR00282,False,normal,,rule_based
USR00283,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00284,False,normal,,rule_based
USR00285,False,normal,,rule_based
USR00286,False,normal,,rule_based
USR00287,False,normal,,rule_based
USR00288,False,normal,,rule_based
USR00289,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00290,False,normal,,rule_based
USR00291,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00292,False,normal,,rule_based
USR00293,False,normal,,rule_based
USR00294,False,normal,,rule_based
USR00295,False,normal,,rule_based
USR00296,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00297,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00298,True,shared_device_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00299,False,normal,,rule_based
USR00300,False,normal,,rule_based
USR00301,False,normal,,rule_based
USR00302,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00303,False,normal,,rule_based
USR00304,False,normal,,rule_based
USR00305,False,normal,,rule_based
USR00306,False,normal,,rule_based
USR00307,False,normal,,rule_based
USR00308,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00309,False,normal,,rule_based
USR00310,False,normal,,rule_based
USR00311,False,normal,,rule_based
USR00312,True,shared_address_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00313,True,voucher_farming,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00314,False,normal,,rule_based
USR00315,True,voucher_farming,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00316,False,normal,,rule_based
USR00317,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00318,False,normal,,rule_based
USR00319,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00320,False,normal,,rule_based
USR00321,False,normal,,rule_based
USR00322,False,normal,,rule_based
USR00323,False,normal,,rule_based
USR00324,False,normal,,rule_based
USR00325,True,shared_address_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00326,False,normal,,rule_based
USR00327,False,normal,,rule_based
USR00328,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00329,False,normal,,rule_based
USR00330,False,normal,,rule_based
USR00331,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00332,False,normal,,rule_based
USR00333,False,normal,,rule_based
USR00334,False,normal,,rule_based
USR00335,False,normal,,rule_based
USR00336,False,normal,,rule_based
USR00337,False,normal,,rule_based
USR00338,False,normal,,rule_based
USR00339,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00340,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00341,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
USR00342,True,voucher_farming,Account registered solely to exploit new user discount and has zero subsequent logins,rule_based
USR00343,False,normal,,rule_based
USR00344,False,normal,,rule_based
USR00345,False,normal,,rule_based
USR00346,False,normal,,rule_based
USR00347,False,normal,,rule_based
USR00348,False,normal,,rule_based
USR00349,False,normal,,rule_based
USR00350,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00351,False,normal,,rule_based
USR00352,False,normal,,rule_based
USR00353,True,shared_device_abuse,Multiple accounts registered and logging in from the same device fingerprint,rule_based
USR00354,False,normal,,rule_based
USR00355,False,normal,,rule_based
USR00356,True,shared_payment_abuse,Looks like a regular user; transaction and setup behaviors overlap with normal profiles,rule_based
USR00357,False,normal,,rule_based
USR00358,False,normal,,rule_based
USR00359,False,normal,,rule_based
USR00360,False,normal,,rule_based
USR00361,False,normal,,rule_based
USR00362,False,normal,,rule_based
USR00363,False,normal,,rule_based
USR00364,True,shared_payment_abuse,Multiple accounts linked to the same default payment token,rule_based
USR00365,True,referral_abuse,Part of a circular referral ring sharing IP addresses and device fingerprints,rule_based
