referral_id,referrer_user_id,referred_user_id,referral_date,reward_amount,reward_claimed
REF00001,USR05080,USR01519,2025-12-09 12:47:36.779221,25000.0,True
REF00002,USR05080,USR05493,2025-12-09 14:04:50.779221,25000.0,True
REF00003,USR05080,USR08738,2025-12-09 14:30:13.779221,25000.0,True
REF00004,USR01519,USR00339,2025-12-09 21:58:50.779221,25000.0,True
REF00005,USR01519,USR02219,2025-12-09 22:44:30.779221,25000.0,True
REF00006,USR01519,USR07862,2025-12-10 17:02:00.779221,25000.0,True
REF00007,USR05493,USR09573,2025-12-10 21:17:22.779221,25000.0,True
REF00008,USR05493,USR09980,2025-12-10 23:03:08.779221,25000.0,True
REF00009,USR05493,USR02016,2025-12-11 04:22:58.779221,25000.0,True
REF00010,USR08738,USR09929,2025-12-11 08:18:16.779221,25000.0,True
REF00011,USR08738,USR04243,2025-12-11 11:26:05.779221,25000.0,True
REF00012,USR08738,USR08000,2025-12-11 14:24:32.779221,25000.0,True
REF00013,USR00339,USR06417,2025-12-11 15:50:40.779221,25000.0,True
REF00014,USR00339,USR00690,2025-12-12 01:21:18.779221,25000.0,True
REF00015,USR00339,USR02079,2025-12-12 01:56:08.779221,25000.0,True
REF00016,USR02219,USR03131,2025-12-12 02:08:02.779221,25000.0,True
REF00017,USR02219,USR07148,2025-12-12 04:59:37.779221,25000.0,True
REF00018,USR02219,USR09717,2025-12-12 19:30:18.779221,25000.0,True
REF00019,USR07862,USR06541,2025-12-13 11:43:42.779221,25000.0,True
REF00020,USR07862,USR04579,2025-12-14 01:49:30.779221,25000.0,True
REF00021,USR07862,USR06061,2025-12-14 12:31:54.779221,25000.0,True
REF00022,USR09573,USR08150,2025-12-14 20:38:48.779221,25000.0,True
REF00023,USR09573,USR05194,2025-12-15 04:29:45.779221,25000.0,True
REF00024,USR09573,USR04218,2025-12-15 23:13:29.779221,25000.0,True
REF00025,USR09980,USR04744,2025-12-16 05:27:47.779221,25000.0,True
REF00026,USR09980,USR04004,2025-12-16 11:39:55.779221,25000.0,True
REF00027,USR09980,USR09871,2025-12-16 16:05:29.779221,25000.0,True
REF00028,USR02016,USR05285,2025-12-16 21:43:19.779221,25000.0,True
REF00029,USR02016,USR01819,2025-12-17 00:24:28.779221,25000.0,True
REF00030,USR02016,USR01846,2025-12-17 03:58:23.779221,25000.0,True
REF00031,USR09929,USR02730,2025-12-17 05:56:07.779221,25000.0,True
REF00032,USR09929,USR00824,2025-12-18 06:56:10.779221,25000.0,True
REF00033,USR09929,USR04785,2025-12-18 13:00:08.779221,25000.0,True
REF00034,USR04243,USR09685,2025-12-19 21:16:12.779221,25000.0,True
REF00035,USR04243,USR07277,2025-12-19 21:21:07.779221,25000.0,True
REF00036,USR04243,USR06586,2025-12-20 00:23:18.779221,25000.0,True
REF00037,USR08000,USR09057,2025-12-20 09:23:19.779221,25000.0,True
REF00038,USR08000,USR03350,2025-12-20 19:52:32.779221,25000.0,True
REF00039,USR08000,USR08358,2025-12-21 11:54:00.779221,25000.0,True
REF00040,USR06417,USR08597,2025-12-21 22:43:20.779221,25000.0,True
