user_id,payment_id,linked_at,is_default_payment
USR00001,PMT00001,2026-01-21 19:14:11.779221,True
USR00002,PMT00001,2025-12-25 17:13:14.779221,True
USR00003,PMT00001,2026-02-16 20:01:19.779221,True
USR00005,PMT00002,2026-05-13 16:03:14.779221,True
USR00006,PMT00002,2026-05-09 22:32:08.779221,True
USR00007,PMT00002,2025-12-13 09:24:07.779221,True
USR00008,PMT00003,2025-12-22 05:01:46.779221,True
USR00009,PMT00003,2026-04-06 16:57:55.779221,True
USR00012,PMT00003,2026-06-02 14:48:03.779221,True
USR00013,PMT00004,2026-05-30 08:28:58.779221,True
USR00016,PMT00004,2026-03-02 10:58:49.779221,True
USR00018,PMT00004,2026-03-29 07:38:41.779221,True
USR00020,PMT00005,2026-02-03 19:05:18.779221,True
USR00021,PMT00005,2026-01-26 14:21:27.779221,True
USR00022,PMT00005,2026-04-26 11:47:27.779221,True
USR00024,PMT00006,2025-12-24 05:55:53.779221,True
USR00026,PMT00006,2025-12-31 04:44:13.779221,True
USR00028,PMT00006,2026-03-05 05:37:42.779221,True
USR00029,PMT00007,2026-04-16 06:02:41.779221,True
USR00030,PMT00007,2026-06-06 04:26:02.779221,True
USR00031,PMT00007,2026-03-03 07:17:13.779221,True
USR00034,PMT00008,2026-02-17 05:57:59.779221,True
USR00035,PMT00008,2025-12-12 08:48:53.779221,True
USR00036,PMT00008,2026-01-20 07:33:57.779221,True
USR00038,PMT00009,2026-04-15 09:25:34.779221,True
USR00039,PMT00009,2026-03-31 14:49:58.779221,True
USR00040,PMT00009,2026-04-04 15:14:47.779221,True
USR00041,PMT00010,2026-01-24 00:44:50.779221,True
USR00042,PMT00010,2026-04-12 15:45:24.779221,True
USR00043,PMT00010,2026-02-04 02:46:46.779221,True
USR00044,PMT00011,2025-12-13 23:20:58.779221,True
USR00045,PMT00011,2026-05-10 03:34:04.779221,True
USR00046,PMT00011,2026-02-21 00:21:10.779221,True
USR00048,PMT00012,2026-03-04 15:38:11.779221,True
USR00049,PMT00012,2026-01-22 20:22:30.779221,True
USR00051,PMT00012,2026-01-22 15:07:15.779221,True
USR00053,PMT00013,2026-05-28 04:41:34.779221,True
USR00054,PMT00013,2026-05-02 06:17:48.779221,True
USR00055,PMT00013,2025-12-23 04:37:10.779221,True
USR00060,PMT00014,2026-03-14 19:15:38.779221,True
USR00061,PMT00014,2026-01-05 19:41:26.779221,True
USR00063,PMT00014,2026-02-03 00:45:18.779221,True
USR00065,PMT00015,2025-12-10 07:24:28.779221,True
USR00066,PMT00015,2026-03-01 19:59:32.779221,True
USR00067,PMT00015,2026-03-05 07:25:26.779221,True
USR00068,PMT00016,2025-12-31 15:06:05.779221,True
USR00069,PMT00016,2026-02-12 03:07:51.779221,True
USR00070,PMT00016,2026-03-03 04:01:57.779221,True
USR00072,PMT00017,2026-01-29 12:40:08.779221,True
USR00074,PMT00017,2025-12-16 13:13:36.779221,True
USR00075,PMT00017,2026-03-13 01:02:09.779221,True
USR00077,PMT00018,2026-04-16 15:26:20.779221,True
USR00078,PMT00018,2026-04-23 08:27:19.779221,True
USR00080,PMT00018,2026-03-01 13:55:07.779221,True
USR00082,PMT00019,2026-04-07 02:33:00.779221,True
USR00083,PMT00019,2025-12-26 12:57:16.779221,True
USR00085,PMT00019,2025-12-16 00:28:04.779221,True
USR00086,PMT00020,2026-01-08 11:45:55.779221,True
USR00087,PMT00020,2026-01-30 22:05:37.779221,True
USR00089,PMT00020,2026-03-01 13:42:05.779221,True
USR00090,PMT00021,2026-03-30 21:38:18.779221,True
USR00093,PMT00021,2026-04-12 20:05:52.779221,True
USR00094,PMT00021,2026-01-05 10:59:40.779221,True
USR00095,PMT00022,2025-12-20 10:59:37.779221,True
USR00096,PMT00022,2026-02-09 10:22:45.779221,True
USR00097,PMT00022,2026-03-24 22:58:27.779221,True
USR00098,PMT00023,2026-03-26 17:56:07.779221,True
USR00099,PMT00023,2026-01-09 11:45:18.779221,True
USR00100,PMT00023,2026-03-15 04:04:24.779221,True
USR00101,PMT00024,2026-02-04 03:31:40.779221,True
USR00102,PMT00024,2026-03-20 14:52:26.779221,True
USR00104,PMT00024,2026-04-24 05:24:30.779221,True
USR00105,PMT00025,2026-04-09 08:55:50.779221,True
USR00106,PMT00025,2026-02-13 23:57:52.779221,True
USR00107,PMT00025,2026-04-01 12:09:59.779221,True
USR00108,PMT00026,2026-04-16 01:13:19.779221,True
USR00109,PMT00026,2026-05-12 18:05:50.779221,True
USR00110,PMT00026,2026-04-17 19:46:04.779221,True
USR00112,PMT00027,2026-01-04 14:41:44.779221,True
USR00113,PMT00027,2026-01-24 18:25:45.779221,True
USR00114,PMT00027,2026-02-08 13:32:33.779221,True
USR00115,PMT00028,2026-04-26 03:28:00.779221,True
USR00116,PMT00028,2026-03-27 08:22:21.779221,True
USR00117,PMT00028,2026-04-07 19:39:16.779221,True
USR00118,PMT00029,2026-03-04 20:35:28.779221,True
USR00119,PMT00029,2026-06-04 20:19:00.779221,True
USR00121,PMT00029,2026-05-17 21:19:20.779221,True
USR00122,PMT00030,2026-01-11 18:10:40.779221,True
USR00123,PMT00030,2026-02-28 11:41:46.779221,True
USR00124,PMT00030,2026-05-23 13:38:16.779221,True
